id,hotel_id,date,national_id,negative_review,positive_review,score,trip_type,guests_composition_id,room_type_id,vacation_length
67,1,11/17/2015,200,No Negative, Very stylish and in a fantastic location,9.6, Leisure trip,3,1,1
71,1,05/04/2017,202, The lounge staff were untrained They were friendly clean and polite but had no idea how to perform their job We practically had to tackle them to get them to bring our snacks and drinks They were visiting with each other when they had customers in the lounge waiting for them , The room size and furnishings and the other hotel amenities were outstanding ,9.2, Leisure trip,4,1,1
75,2,8/31/2016,13, it s a shame about all the construction going on because it looked like such a beautiful place but we couldn t see a lot , super comfy beds cozy rooms lovely staff pretty sweet location I love amsterdam ,9.2, Leisure trip,4,3,4
76,2,2/15/2016,13, Room could have done with a microwave our room had a small leak in the walls from where the rain would come through , The room was exactly as expected The bed was the most comfortable bed that we have ever slept on the shower was HUGE Easy check in and check out only a 5 minute walk to the grocery store staff were very friendly and public transport is only minutes walk from the hotel room or if you like walking everything you need to see is only a 30 45min walk ,9.2, Leisure trip,2,4,5
77,2,09/01/2015,13, floor tiles in bath room shower were slippery when wet Black coating on glass wall between bath bed room was obviously an attempt to darken the glass tint that was inadequate Hall way to rooms on 2nd floor was too dark gloomy Reception area stuffy too hot on day we checked in I question the 4 star rating, staff good location suited us,7.1, Leisure trip,2,4,1
78,2,8/26/2015,13,No Negative, This is an older building with a wonderful refurbishment Our bedroom and bathroom were state of the art and perfect The dining experience was also excellent We had a problem with one meal but it was fixed immediately Will go back ,10, Leisure trip,2,4,2
79,2,1/15/2016,13, A lot of renovation work, Nice rooms and modern place,10, Leisure trip,2,4,3
80,2,4/26/2016,21, the club sandwiches cold bacon with congealed fat and processed chicken Very poor , The friendly staff in bar restaurant The evening meal was excellent A pity the club sandwiches at lunch were awful After the building renovations I think this hotel will be fabulous It has so much history and is so unusual Loved it ,9.6, Leisure trip,2,4,1
81,2,08/02/2016,21, Curtains had holes in it Door of the mini bar was broken , Place is very nice,6.3, Business trip,1,3,1
82,2,2/22/2016,21, There is no enough space in the room my room even to put your clothes , The architecture the bar area the staff are kind and helpful ,5.5, Business trip,1,4,2
83,2,4/19/2017,36, Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet , Location on the park with easy access to tram lines was very good ,6.3, Leisure trip,2,3,3
84,2,7/27/2016,36, The front desk staff particularly the young men tended to be a bit spaced out and were not very helpful at times however the female attendants on the desk were quite efficient and knowledgeable Breakfast was a bit pricey especially for two people combined , The rooms were comfortable and clean and the bed accommodated sleep well Restaurant and bar staff were very helpful and friendly The breakfast was quite good where there was a variety of selections available to choose from ,7.1, Business trip,2,1,5
85,2,6/16/2016,36, The hotel gardens and patios were under major renovation The sidewalk entrance was a mess There was no mention of this at all on the booking com website We were given a voucher for one drink cocktails excluded as compensation Not good enough , The location of this hotel is great It s very close to the tram lines and subway The staff was very helpful in getting us a room that was to our liking The breakfast buffet was fine ,7.5, Leisure trip,2,4,2
86,2,12/22/2015,40, the restaurant food was terrible my first room was facing the garden construction site which starts at 6am in the morning although per local law is not allowed when I reach the staff he said he could do nothing about it while the construction is actually owned by the hotel it s a real bazaar they can t control it after my insisting they changed my room but the fridge safe and sink wasn t working I stayed there 14 days never again , nothing,3.1, Business trip,1,4,14
87,2,12/15/2016,53, The sink in the bathroom was very dirty when I got the room Unacceptable The room was freezing cold they could turn on the heating before the guests arrive , The location is really good the room was spacious and comfortable the bathroom as well ,7.1, Leisure trip,1,3,1
88,2,9/16/2015,53, Cleaning small rooms Too expensive, Excellent location when arriving in car,5.4, Leisure trip,2,4,4
89,2,10/11/2016,67, So lets start from the weird thing that happened in one of the rooms we were staying One person in our group got 220v electric chock which went through her hands It came from water boiler or lamp due to either a bad wireing faulty socket lamp or water boiler Luckily the rooms fuse discharged and cut the electricity in the room immediately The hotel covered doctor expences were very sorry about what had happened and send a fruit basket to a room They also let us have a late check out for free of charge Thats all of the compensation we had In my opinion the compensation was not that big for endangering a life of guest or what do you think The managemt had a chance to read and comment my review before i posted it The hotel management answered that this electric problem is now fixed but its still unclear if they checked other renovated rooms for faulty wireing too It anyway seems that the management does not worry about this that much since the management said that they did nor endanger any lives in the hotel Ofcource the managent was also very sorry in the answer about what had happened Some information gaps there seemed to be between the manager and the personnel since the cleaner came to ask us when are we leaving and the keys stopped working before the time we had been granted to leave Picture is from bathroom lamp that had nothing to do with the insident but such wireing was visible in the rooms, Anyways the staff was extremely friendly no complants there Location of the hotel is about 1km from the nearest metro station The rooms were tidy and the beds were good to sleep in However there where several small faulty details unfinished renovation in the room like lamp on the floor nails sticking out of floor which rips your sock etc so nothing major but adding them all together it makes this as a three star hotel in my opinnion ,4.2, Leisure trip,4,3,2
90,2,5/22/2017,68, Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you , Great hotel original concept style,8.3, Business trip,1,3,2
91,2,11/27/2016,68, Hotel under renovation , Breakfast,6.3, Business trip,1,3,2
92,2,4/25/2016,68, The receptioninst was rather cold , The duplex room design ,9.6, Business trip,1,3,2
94,2,4/18/2017,74, Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy , The hotel is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything ,7.5, Leisure trip,2,4,3
95,2,12/19/2016,74, The breakfast was rather average from quality and appearance and not that well organized The young gentlemen managing this were more interested in watching the young female guests This was nice to see but at the same time spoons butter coffee etc were out I would expect a better experience for that price , The building was fantastic All renovated areas were very stylish The receptionist was very friendly and gave us a warm start in this place ,6.7, Leisure trip,2,3,2
96,2,03/02/2016,74, I hate when the beds are two separate beds pushed together That may just be a European thing or maybe I got the reservation wrong either way I would still go back to this hotel, The place looked amazing and it was close enough to everything that walking was not a hassle,8.8, Leisure trip,2,4,2
97,2,9/18/2015,76,No Negative, The matress and pillows were exceptionally good Best sleep in terms of comfort ever I would be grateful to know your suppliers as would like to replicate this comfort in my own home ,9.6, Business trip,1,4,1
98,2,5/16/2017,87, There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical , The hotel is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the hotel Public transportation and a nice bakery for breakfast are also close Good wifi all around the hotel ,9.2, Leisure trip,2,4,3
99,2,9/15/2015,88,No Negative, Great and beautiful hotel with wonderful staff ,8.8, Leisure trip,4,4,3
100,2,04/05/2017,89, Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either , The location of the hotel is super opening out to Oosterpark The staff was very helpful and friendly The bed was very comfortable The room was spacious enough for 2 people ,7.9, Leisure trip,3,1,2
101,2,08/03/2017,93,No Negative, No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ,7.5, Leisure trip,2,4,4
102,2,6/30/2017,93, We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment , We loved the location of this hotel The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The hotel is lovely and the bed was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland ,7.5, Leisure trip,2,4,3
103,2,4/26/2017,93, not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation, the building meeting rooms modern style of my room park,7.1, Business trip,4,4,1
104,2,9/19/2016,93, split level bedrooms although quirky are impractical 1 TV remote for both tv s but on differernt floors A C is located downstairs so very impractical to have to go downstairs to adjust The walls are also very thin not good sound proofing , beautiful surroundings great location Old world style of the hotel is really different,6.3, Business trip,1,4,2
105,2,04/05/2016,93, The hotel is currently under going renovations and while this wasnt a major problem work did start early on Mon morning , Staff were very friendly helpful The kitchen provided us a great meal the bar staff were nice and the breakfast bar was very impressive ,7.9, Leisure trip,2,4,3
106,2,12/31/2015,93, The hotel is being renovated and an extensive development is unfolding just outside During working hours the noise can be very disturbing The facilities look and sound rickety The A C is extremely loud and not very effective overall the room was too cold What s worse turning it off makes it possible to hear water flowing dropping through pipes in the walls Chinese water torture anyone The bathroom walls are transparent And I don t mean you can maybe make something out if you squint I mean Oh my word I didn t want to see that There is maybe one spot in the room where one does not have a complete view of whatever is happening inside the bathroom The staff didn t change the towels they simply re folded them 3 days in a row with no new towels The hotel is quite far from the center and there s little to do around it If you think you can walk think again and take the tram instead Or another hotel , Polite staff ,4.2, Leisure trip,2,4,3
107,2,11/24/2015,93, The toilet has glass walls no privacy The room was dirty after 3 days because the cleaners never hoovered the room the towels never changed the fridge was empty the room was very small I don t understand how this hotel has 4 stars The day of our check out we were forced to leave the hotel at 8 30 because they would cut the electricity and the hot water due to renovation in the hotel , The hall,4.6, Leisure trip,2,4,3
108,2,11/10/2015,93, Taxi from hotel to airport was extortionate price so we took the train Breakfast was nice but very expensive , Close to Tram Excellent room nice staff ,10, Leisure trip,2,4,4
109,2,10/22/2015,93,No Negative, This was our first time in Amsterdam and the staff were incredibly helpful They took special notice of the fact that is was my birthday and were so friendly ,10, Leisure trip,2,4,4
110,2,08/06/2015,93, A bit noisy You can hear a lot through the walls It s a shame the construction is still going on however there is minimal disruption from this and it sounds like it will be great when done , Friendly staff nice rooms comfy bed though pillows aren t as comfy as they look There are two trams that leave from close to the hotel and one goes directly to Central and both go to the main tourist hub Oosterpark right on your door step,8.8, Leisure trip,2,4,3
111,2,4/19/2016,93, A drawer in the bedroom would be great could not find the lounge, staff EXCELLENTbed VERY comfortable,7.1, Leisure trip,2,4,4
112,2,02/10/2016,93,No Negative, Location very good Staff very helpful Breakfast Excellant,8.8, Leisure trip,2,4,2
113,2,12/15/2015,95, In our own experience First night we couldn t sleep due to an extreme hot problem caused by the AC The next day we were moved to a better room ok but I was expecting to be refund for the night without proper sleep and we didn t AC was very noisy also in the new room And last At reception you will be told that reserving a taxi to the airport will cost 44Euro After doing so the taxi driver eventually charged us 55 Euro The driver simply said not responsible for promises from the hotel reception Be aware of that if you wanna use taxi from Arena, Staff was vey pleasant The place is very well designed,5.8, Leisure trip,2,4,3
114,2,10/30/2015,95, At first glance it looks like a dream hotel But then when you go see the hotel renovated and under construction which was not mentioned to us in advance Importantly they did not hear the construction work but ideally they indicate the presence of this order Even the room itself looked like dreams a room with two floors first floor shower toilet living room and a small refrigerator upstairs bedroom But at night when you go to sleep it becomes a nightmare room The doors of the rooms slammed shut and all entry and exit from different sound intensity in our room There really bad in this hotel because of the noise of slamming doors In addition the room may flooring and also hear every footstep in the room above you and from you Clean room we had not exchanged towels for 3 days until we asked , The best thing at this price excellent price in relation to the modern and spacious room received ,6.7, Leisure trip,2,4,5
115,2,07/04/2017,96,No Negative, This hotel is being renovated with great care and with an appreciation for its unique structure and location My spacious and comfortable room had a large double paned glass window onto the lush greenery of the park The breakfast selection was spectacular All considered this was a great hotel for the price and I plan to return ,9.2, Business trip,1,4,1
116,2,6/24/2017,96, Very long check in process, Impressive venue,7.9, Business trip,1,4,1
117,2,8/28/2016,96, Need to do narrow stairs to reach the room, Huge bath with big bathtub,8.3, Business trip,1,4,3
118,2,10/23/2015,116, next to a larger construction site shocking at first sight but not noisy or disturbing at least not during my stay, friendly staff place is very clean and charming beautiful restaurant and bar food looked I didn t try it way better than the usual Amsterdam culinary sins,9.2, Leisure trip,1,4,1
119,2,02/06/2017,121, The place is completely mismanaged The property is amazing and whoever is running the place is doing it a disservice Don t stay here if you are expecting a 4 star experience it s a 4 star location with 1 star service The restaurant service is the worst I have ever experienced The staff need guidance on how to serve efficiently The hotel has many strange design choices too Had a double bedroom with a friend yet you can easily see into the bathroom shower and toilet Shower overflows all over bathroom quickly You can see into the urinals from the reception area Loud security doors right outside our room woke us up regularly Put the security measures on the elevators ya goofs This is the only negative review I have ever written but the place has potential and needs new management , The property is beautiful,4.6, Leisure trip,4,3,7
120,2,9/25/2015,123,No Negative, We stayed at the hotel for 5 nights Hotel is a bit far from the center but with the tram and metro you arrive at the center in minutes Hotel is situated in a quite area The rooms are very spacious comfortable and cosy The staff is very nice and helpful,9.6, Leisure trip,2,4,4
121,2,6/29/2017,137,No Negative, Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues ,7.1, Business trip,4,4,2
122,2,05/09/2017,137, Please see above, The hotel is going through renovations and unfortunately it means that the rooms can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible ,6.7, Leisure trip,3,4,2
123,2,6/29/2016,137, We would have liked to know in advance that the hotel is being renovated We had a room right in front of the building site and were waken up at 6 30 because of the noise Booking com should warn travellers for this so they can ask for a room on the quiet side of the hotel , Very friendly staff lovely comfy room,7.1, Leisure trip,2,3,1
124,2,05/03/2016,137, There was a staircase in our room between the bed and the bathroom This means the bathroom is very spacious and lovely but can be a bit of a pain in the middle of the night , The hotel has its own character and a long history Very cool vibe We got a round of free drinks as consolation to the construction work outside ,8.3, Leisure trip,2,4,6
125,2,08/04/2015,137, service of the breakfast team plates were not taken away had more eye to themselves entrance looked poor given the renovation of the other parts of the building , location outside terras,6.7, Leisure trip,2,4,2
126,2,08/08/2016,137, You can hear doors opening and closing Other than that I had a pleasant night ,No Positive,6.7, Leisure trip,2,4,1
127,2,05/03/2016,137, n a, location size of the room large bathroom breakfast was ok,7.5, Leisure trip,2,4,1
128,2,11/17/2015,137, bit noisy dark hallways, nice room with bedside on a loft and the nice gesture for a free drink due to renovation of the premises ,7.5, Leisure trip,2,4,1
129,2,07/08/2017,142, The aircondition makes so much noise and its hard to sleep at night , The room was big enough and the bed is good The breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling ,7.9, Leisure trip,2,1,7
130,2,05/03/2016,142, It would have been nice if the one responsible for the cleaning of the room had swept up the crumbs from the floor It was noisy from the main street It was not heated floor in the bathroom and as it rained pretty much during our stay it was difficult with wet shoes There was construction site all around the hotel and the choice would have fell on another hotel if we had known this I am sure it will be very nice when it is finished , Good breakfast nice beds nice to live at a hotel with history ,7.1, Leisure trip,2,4,4
131,2,6/19/2017,142, The hair drier was the only thing I could complain about , Beautiful hotel Nice room and excelelnt facilities for breakbast and dining ,9.2, Leisure trip,3,3,2
132,2,8/16/2015,142, Doors to the bathroom, EVERYTHING ,10, Leisure trip,4,4,4
133,2,7/24/2017,151, Backyard of the hotel is total mess shouldn t happen in hotel with 4 stars , Good restaurant with modern design great chill out place Great park nearby the hotel and awesome main stairs ,6.7, Leisure trip,4,4,1
134,2,03/06/2017,151, when you take a shower the whole floor is in the water problem with opening the garage door curtained window some construction, good and comfortable mattress near tram station helpful people from recepction,7.9, Leisure trip,1,4,3
135,2,02/07/2016,151,No Negative, beautiful interior,9.2, Leisure trip,2,4,2
136,2,10/06/2016,152, There were Construction Works and such information was not passed to us when we booked There was dust everywhere and the shower was blocked the bathroom flooded everytime we took a shower Too dark common reas , Beautifull buiding next to Oosterpark Friendly staff Great breakfast ,6.7, Leisure trip,2,3,2
137,2,10/28/2015,152, the room felt cramped the staff at breakfast was a little to busy to help out when asked , the breakfast area is nice,5.4, Leisure trip,2,4,2
138,2,08/03/2017,157, I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer , Only the park outside of the hotel was beautiful ,2.9, Leisure trip,2,4,6
139,2,4/20/2017,157, The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more , Very nice hotel located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city hotels are located in small buildings But pay attention to the fact that most of the rooms are two storeyed so you will have to use stairs to get to bed ,8.8, Leisure trip,2,4,2
140,2,11/15/2016,158, The hotel is being renovated Which means that you will literally be drilled out of your bed starting at 7am We paid EUR350 for a large room but really it was not worth the money , The location is beautiful I m sure after the renovations this will be a lovely hotel ,5.4, Leisure trip,2,2,1
141,2,1/25/2017,174, Very bad attitude of personnel at Breakfast Only allowed one coffee from the Coffee machine filter coffee was free Rude behavior of the manager Room was noisy because of dripping water sound heater system in room , Location is good They gave me some freebies for noisy room,6.3, Leisure trip,2,4,1
142,2,12/28/2016,174, Room was not cleaned correctly Wine Champagne glasses left dirty in the room the floors felt dirty and the shower drain was clogged From the day we arrived , To begin with we were upgraded which made my wife very happy the room was spacious and warm with minimal noise Breakfast has improved hotel was well looked after It has undergone some major renovations since I last stayed there The new wing looks beautiful and the company has invested a lot into the property Super impressed with the Park and the way nature comes together with the hotel New dining area is magnificent and all food looked fantastic we preferred to eat out for dinner because of sight seeing ,7.5, Leisure trip,2,4,4
143,2,7/14/2016,174, there is a renovation ongoing in front of the hotel which will hopefully be completed soon as it kills the view, Vibe is good location good and historic building is will be beautiful,7.9, Leisure trip,1,3,1
144,2,9/29/2015,177,No Negative, I loved the hotel design and decoration Staff were extremely nice always helpful and smiling That is something you really appreciate when you are on a 24 hour business trip Breakfast was way better than I expected although coffee was quite bad That is something most hotels fail to nail and I think most guests find it important Rooms are fantastically cozy clean and comfortable ,9.6, Business trip,1,4,1
145,2,9/30/2015,177, Insonorisation was not the best Could hear rowdy neighbors at night , Staff at check in and check out were really nice ,8.8, Business trip,1,4,1
146,2,12/19/2016,184, Breakfast I missed cutted fresh fruits for Muesli couldn t find the Cheese and for Capuccino you had to pay extra , The young guy at the reception was really friendly and helpful Dinner has been cooked excellent ,7.1, Leisure trip,2,4,1
147,2,10/31/2016,184, The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy , The restaurant opened 2 days before however the food was good especially the burger Good breakfast with fresh orange juice WIFI in all hotel,7.9, Business trip,1,4,2
148,2,10/13/2016,184, The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere , It s a beautiful hotel or should I say will be when the renovation is finished ,7.1, Business trip,4,3,2
149,2,4/19/2016,184, The interiors are looking quite tired and the deluxe room on two levels was not to our liking This hotel was listed as four star though we would not consider this an accurate rating , Quiet location and thankfully the construction to the exterior of the hotel did not impact our stay ,5.4, Leisure trip,2,4,2
150,2,5/17/2016,184, We didn t get any Information about the construction works going on , Nice room located on two floors for a fair price,7.1, Leisure trip,2,4,3
151,2,2/25/2016,193, Small room , Personnel was be very good ,7.9, Business trip,4,4,3
152,2,10/02/2015,193,No Negative, Great atmosphere old building with modern design ,9.2, Leisure trip,2,4,3
153,2,11/03/2015,198, The room wasn t cleaned two days in a row I don t think glass wall and door to the bathroom is a good idea Didn t notice any navigation and got lost in hotel corridors for a few times , Good Wi fi ,6.3, Leisure trip,2,1,4
154,2,3/22/2017,199, Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here, clean and new,5.4, Business trip,2,1,1
155,2,7/31/2017,200, My room was dirty and I was afraid to walk barefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my room was leaking luckily not on the bed you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a room next door at midnight was very noisy as were many of the guests I understand the challenges of running a hotel in an old building but this negligence is inconsistent with prices demanded by the hotel On the last night after I complained about water damage the night shift manager offered to move me to a different room but that offer came pretty late around midnight when I was already in bed and ready to sleep , Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character ,3.8, Leisure trip,1,4,3
156,2,5/25/2017,200, Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all , The Hotel itself is in a lovely location a 5min if that tram ride into the center Train right outside the Hotel easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean rooms Beds are amazing felt as if we were sleeping on clouds Bathroom was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair room service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the room Perfect Hotel couldn t fault it at all The lovely smell from the restaurant downstairs is great Tennis court outside the Hotel little pond as well and a huge park to walk around ,9.6, Leisure trip,4,4,2
158,2,4/20/2017,200, the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that, The location was amazing the room was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had breakfast at the restaurant on site and this was only once and fairly standard as A brit and a connoisseur of cooked breakfasts I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked breakfast like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the restaurant it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam,8.8, Leisure trip,2,4,2
